AURUM,NC added,GOLD,Joht Labelling,Paper Labelling,Final Names,Paper Short Name,Organ System,QOF,
OSA_birm_cam,bigger list,CPRD_SLEEP_APNOEA,Sleep apnoea,Sleep apnoea,Sleep apnoea,sleep_apnoea,Respiratory System Diagnoses,,
SpinaBifidaMM,bigger list,CPRD_SPINA_BIFIDA,Spina Bifida,Spina Bifida,Spina Bifida,spina_bifida,Perinatal Conditions,,
CPRDAurum_SpinalStenosis,x,CPRD_SPINAL_STENOSIS,Spinal Stenosis,Spinal Stenosis,Spinal Stenosis,spinal_stenosis,Musculoskeletal Diagnoses,,
CPRDAurum_Spondylolisthesis,x,CPRD_SPONDYLOLISTHESIS,Spondylolisthesis,Spondylolisthesis,Spondylolisthesis,spondylolisthesis,Musculoskeletal Diagnoses,,
CPRDAurum_Spondylosis,x,CPRD_SPONDYLOSIS,Spondylosis,Spondylosis,Spondylosis,spondylosis,Musculoskeletal Diagnoses,,
CPRDAurum_StableAngina,x,CPRD_STABLE_ANGINA,Stable Angina,Stable Angina,Stable Angina,sa,Circulatory System Diagnoses,1,
CPRDAurum_Stroke_unspecified,x,CPRD_STROKE_NOS,Stroke,Stroke - not otherwise specified,Stroke - not otherwise specified,stroke_nos,Circulatory System Diagnoses,1,
CPRDAurum_SubarachnoidHaemorrhage,x,CPRD_SUBARACH,Subarachnoid Haemorrhage,Subarachnoid Haemorrhage,Subarachnoid Haemorrhage,subarach,Circulatory System Diagnoses,1,
CPRDAurum_subdural_haematoma,x,CPRD_SUBDURAL_HAEM,Subdural haematoma,Subdural haematoma,Subdural haematoma,subdural_haem,Circulatory System Diagnoses,1,
CPRDAurum_SubstanceMisuse,x,CPRD_SUBSTANCE_MISUSE,Substance Misuse,Substance Misuse,Substance Misuse,substance_misuse,Mental and Behavioural Diagnoses,,
CPRDAurum_SupraventricularTachycardia,x,CPRD_SVT,Supraventricular Tachycardia,Supraventricular Tachycardia,Supraventricular Tachycardia,svt,Circulatory System Diagnoses,,
ADHD_mm_birm_camV2,x,CPRD_ADHD,Attention deficit hyperactivity disorder,Syndrome of Inappropriate AntiDiuretic Hormone,Syndrome of Inappropriate AntiDiuretic Hormone,SIADH,Endocrine Diagnoses,,
Thalassaemia_birm_cam,x,CPRD_THALA,Thalassaemia,Thalassaemia,Thalassaemia,e,Blood and Immune System Diagnoses,,
Thalassaemia_trait_birm_cam,x,CPRD_THAL_TRAIT,Thalassaemia Trait,Thalassaemia Trait,Thalassaemia Trait,thal_trait,Blood and Immune System Diagnoses,,
Thrombophilia_mumpredict,bigger list,CPRD_THROMBOPHILIA,Thrombophilia,Thrombophilia,Thrombophilia,thrombophilia,Blood and Immune System Diagnoses,,
CPRDAurum_ThyroidDisease,x,CPRD_THYROID,Thyroid Disease,Thyroid Disease,Thyroid Disease,thyroid,Endocrine Diagnoses,1,Review - hyperthyroid?
Tinnitus_TLC_V2,bigger list,CPRD_TINNITUS,Tinnitus,Tinnitus,Tinnitus,tinnitus,Ear Diagnoses,,
Transient_Ischaemic_Attack_TIA,bigger list,CPRD_TIA,Transient Ischaemic Attack,Transient Ischaemic Attack,Transient Ischaemic Attack,tia,Circulatory System Diagnoses,1,
CPRDAurum_trifasc_block,x,CPRD_TRIFASC_BLOCK,Trifascicular Block,Trifascicular Block,Trifascicular Block,trifasc_block,Circulatory System Diagnoses,,
CPRDAurum_TrigeminalNeuralgia,x,CPRD_TRIGEM_NEUR,Trigeminal Neuralgia,Trigeminal Neuralgia,Trigeminal Neuralgia,trigem_neur,Neurological Diagnoses,,
Tuberculosis_gbv,x,CPRD_TB,Tuberculosis,Tuberculosis,Tuberculosis,tb,Infectious Diseases,,
CPRDAurum_TubulointerstitialNephritis,x,CPRD_TIN,Tubulo-interstitial Nephropathy,Tubulo-interstitial Nephropathy,Tubulo-interstitial Nephropathy,tin,Genitourinary System Diagnoses,,
Type1DM_11_3_21_birm_cam,x,Type1DM_11_3_21_birm_cam,,Type 1 Diabetes Mellitus,Type 1 Diabetes Mellitus,t1dm,Endocrine Diagnoses,1,
Type2Diabetes,x,Type_2Diabetes_11_3_21_birm_cam,,Type 2 Diabetes Mellitus,Type 2 Diabetes Mellitus,t2dm,Endocrine Diagnoses,1,
Ulcerative_colitis_birm_cam,x,CPRD_ULC_COLITIS,Ulcerative Colitis,Ulcerative Colitis,Ulcerative Colitis,ulc_colitis,Digestive System Diagnoses,,
,,CPRD_UNDESCENDED_TESTIS,Undescended Testis,Undescended Testis,Undescended Testis,undesc_testis,Genitourinary System Diagnoses,,
UnstableAngina,x,CPRD_UNSTABLE_ANGINA,Unstable Angina,Unstable Angina,Unstable Angina,ua,Circulatory System Diagnoses,1,
Urinaryincontinence_TLC_V2,bigger list,CPRD_URINE_INCONT,Urinary Incontinence,Urinary Incontinence,Urinary Incontinence,urine_incont,Genitourinary System Diagnoses,,
urolithiasis_MM_birm_cam,x,CPRD_UROLITHIASIS,Urolithiasis,Urolithiasis,Urolithiasis,urolithiasis,Genitourinary System Diagnoses,,
urticaria_gbv,x,CPRD_URTICARIA,Urticaria,Urticaria,Urticaria,urticaria,Skin Diagnoses,,
FGenitalProlapse_mumpredict,x,CPRD_FEMALE_GENITAL_PROLAPSE,Female Genital Prolapse,Uterovaginal Prolapse,Uterovaginal Prolapse,prolapse,Genitourinary System Diagnoses,,
CPRDAurum_VenousThromboembolicDisease_ExclPE,x,CPRD_VTE_EX_PE,Venous Thromboembolism (except Pulmonary Embolism),Venous thromboembolism (Excl PE),Venous thromboembolism (Excl PE),vte_expe,Circulatory System Diagnoses,,
CPRDAurum_VentricularTachycardia,x,CPRD_VT,Ventricular Tacchycardia,Ventricular Tachycardia,Ventricular Tachycardia,vt,Circulatory System Diagnoses,,
CPRDAurum_VitaminB12DeficiencyAnaemia,x,CPRD_B12_DEF,B12 Deficiency,Vitamin B12 deficiency anaemia,Vitamin B12 deficiency anaemia,b12def,Blood and Immune System Diagnoses,,
Vitiligo_birm_camV2,x,CPRD_VITILIGO,Vitiligo,Vitiligo,Vitiligo,vitiligo,Skin Diagnoses,,
Volvulus_Vet,x,CPRD_VOLVULUS,Volvulus,Volvulus,Volvulus,volvulus,Digestive System Diagnoses,,
example,example
