AURUM,NC added,GOLD,Joht Labelling,Paper Labelling,Final Names,Paper Short Name,Organ System,QOF,
CPRDAurum_MotorNeuronDisease,x,CPRD_MND,Motor Neurone Disease,Motor Neurone Disease,Motor Neurone Disease,mnd,Neurological Diagnoses,,
Multiple_Sclerosis_AURUM,bigger list,CPRD_MS,Multiple Sclerosis,Multiple Sclerosis,Multiple Sclerosis,ms,Neurological Diagnoses,,
CPRDAurum_MultipleValveDisorder,x,CPRD_MULT_VALVE,Multiple valve disorder,Multiple valve disorder,Multiple valve disorder,mult_valve,Circulatory System Diagnoses,,
CPRDAurum_MyastheniaGravis,x,CPRD_MYASTHENIA,Myasthenia Gravis,Myasthenia Gravis,Myasthenia Gravis,myasthenia,Neurological Diagnoses,,
CPRDAurum_MyelodysplasticSyndrome,x,CPRD_MDS,Myelodysplasia,Myelodysplastic Syndrome,Myelodysplastic Syndrome,malig_mds,Cancers,,
Myocardialnfarction_MI_Bham_CAM_OPTIMAL,bigger list,CPRD_MYOCARDIAL_INFARCTION,Myocardial Infarction,Myocardial Infarction,Myocardial Infarction,mi,Circulatory System Diagnoses,1,
CPRDAurum_Nasal_Polyp_Vet,x,CPRD_NASAL_POLYP,Nasal Polyps,Nasal Polyps,Nasal Polyps,nasal_polyp,Respiratory System Diagnoses,,
NeonatalJaundice_mumpredict,x,CPRD_NEO_JAUNDICE,Neonatal Jaundice,Neonatal Jaundice,Neonatal Jaundice,neo_jaundice,Perinatal Conditions,,
CPRDAurum_NeuropahticBladder,x,CPRD_NEURO_BLADDER,Neuropahtic Bladder,Neuropathic Bladder,Neuropathic Bladder,neuro_bladder,Genitourinary System Diagnoses,,
CPRDAurum_NonHodgkinLymphoma,x,CPRD_NHL,Non Hodgkins Lymphoma,Non-Hodgkin's Lymphoma,Non-Hodgkin's Lymphoma,malig_nhl,Cancers,1,
CPRDAurum_NonrheumaticAorticValveDisorders,x,CPRD_NONRH_AORTIC,Non-rheumatic Aortic valve disorder,Non-rheumatic Aortic valve disorder,Non-rheumatic Aortic valve disorder,nonrh_aortic,Circulatory System Diagnoses,,
CPRDAurum_NonrheumaticMitralValveDisorders,x,CPRD_NONRH_MITRAL,Non-rheumatic Mitral valve disorder,Non-rheumatic Mitral valve disorder,Non-rheumatic Mitral valve disorder,nonrh_mitral,Circulatory System Diagnoses,,
Obesity_11_3_21,bigger list,CPRD_OBESITY,Obesity,Obesity,Obesity,obesity,Endocrine Diagnoses,1,
ObsessiveCompulsiveDisorder_birm_cam,bigger list,CPRD_OCD,Obsessive Compulsive Disorder,Obsessive Compulsive Disorder,Obsessive Compulsive Disorder,ocd,Mental and Behavioural Diagnoses,,
CPRDAurum_ObstructiveandRefluxUropathy,x,CPRD_OBSTR_REFLUX,Obstructive and reflux uropathy,Obstructive and reflux uropathy,Obstructive and reflux uropathy,obstr_reflux,Genitourinary System Diagnoses,,
CPRDAurum_Oesophageal_Ulcer_Vet,x,CPRD_OESOPH_ULC,Oesophageal Ulcer,Oesophageal Ulcer,Oesophageal Ulcer,oesoph_ulc,Digestive System Diagnoses,,
CPRDAurum_OesophagealVarices,x,CPRD_VARICES,Oesophageal Varices,Oesophageal Varices,Oesophageal Varices,varices,Digestive System Diagnoses,,
CPRDAurum_Osteoarthritis_exclSpine,note significantly longer OA lists exist that do not exclude spine,CPRD_OA,osteoarthritis,Osteoarthritis,Osteoarthritis,oa,Musculoskeletal Diagnoses,,
Osteoporosis_birm_cam,bigger list,CPRD_OSTEOPOROSIS,Osteoporosis,Osteoporosis,Osteoporosis,osteoporosis,Musculoskeletal Diagnoses,1,
CPRDAurum_HaemolyticAnaemias_Other,x,CPRD_OTH_HAEM_ANAEMIA,Haemolytic Anaemia,Other haemolytic anaemia,Other haemolytic anaemia,oth_haem_anaemia,Blood and Immune System Diagnoses,,
CPRDAurum_Pancreatitis,x,CPRD_PANCREATITIS,Pancreatitis,Pancreatitis,Pancreatitis,pancreatitis,Digestive System Diagnoses,,
Parkinsons_birm_cam,x,CPRD_PARKINSONS,Parkinson's Disease,Parkinsons Disease,Parkinsons Disease,parkinsons,Neurological Diagnoses,,
,,CPRD_PDA,Patent Ductus Arteriosus,Patent Ductus Arteriosus,Patent Ductus Arteriosus,pda,Perinatal Conditions,,
Gastrointestinal_ulcer,x,CPRD_ULCER_PEPTIC,Gastrointestinal Ulcer (excluding oesophageal),Peptic Ulcer,Peptic Ulcer,ulcer_peptic,Digestive System Diagnoses,,
CPRDAurum_PeripheralVascularDisease,x,CPRD_PERIPHERAL_ARTERIAL_DISEASE,Peripheral Arterial Disease,Peripheral Arterial Disease,Peripheral Arterial Disease,pad,Circulatory System Diagnoses,1,
CPRDAurum_PeripheralNeuropathy,x,CPRD_PERIPH_NEURO,Peripheral Neuropathy,Peripheral Neuropathy,Peripheral Neuropathy,periph_neuro,Neurological Diagnoses,,
PersonalityDisorder_birm_camV2,x,CPRD_PD,Personality Disorder,Personality Disorder,Personality Disorder,pd,Mental and Behavioural Diagnoses,,
Pilonidal_sinus_vet,x,CPRD_PILONIDAL,Pilonidal cystOrSinus,Pilonidal cyst/sinus,Pilonidal cyst/sinus,pilonidal,Skin Diagnoses,,
